track_name,artist,album,release_date,explicit,popularity,duration_minutes,date_fetched
Pink + White,Frank Ocean,Blonde,2016-08-20,false,90,3.08,2025-06-25
range brothers (with Kendrick Lamar),Baby Keem,The Melodic Blue,2021-09-10,true,64,5.28,2025-06-25
"GONE, GONE / THANK YOU","Tyler, The Creator",IGOR,2019-05-17,true,79,6.26,2025-06-25
90210 (feat. Kacy Hill),Travis Scott,Rodeo,2015-09-04,true,83,5.65,2025-06-25
PUFFIN ON ZOOTIEZ,Future,I NEVER LIKED YOU,2022-05-02,true,60,2.88,2025-06-25
HONEST,Baby Keem,DIE FOR MY BITCH,2019-07-19,true,80,2.88,2025-06-25
The Bigger Picture,Lil Baby,The Bigger Picture,2020-06-12,true,63,4.21,2025-06-25
Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),Lil Yachty,Lil Boat 3,2020-05-29,true,75,2.98,2025-06-25
Foot Fungus,Ski Mask The Slump God,STOKELEY,2018-11-30,true,66,2.16,2025-06-25
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,WUNNA,2020-05-22,true,76,3.3,2025-06-25
Money Longer,Lil Uzi Vert,Lil Uzi Vert vs. The World,2016-05-27,true,76,3.32,2025-06-25
My Name Is,Eminem,The Slim Shady LP,1999-02-23,true,77,4.47,2025-06-25
Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,2018-10-05,true,83,2.43,2025-06-25
wokeuplikethis*,Playboi Carti,Playboi Carti,2017-04-14,true,75,3.93,2025-06-25
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,true,87,4.06,2025-06-25
R.I.P.,Playboi Carti,Die Lit,2018-05-11,true,75,3.2,2025-06-25
HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,true,88,2.95,2025-06-25
Cash In Cash Out,Pharrell Williams,Cash In Cash Out,2022-06-10,true,69,3.6,2025-06-25
Walkin,Denzel Curry,Melt My Eyez See Your Future,2022-03-25,true,70,4.67,2025-06-25
Lost & Found,Cordae,The Lost Boy,2019-07-26,true,59,2.68,2025-06-25
Dior,Pop Smoke,Meet The Woo,2019-07-26,true,79,3.61,2025-06-25
Too Late,The Weeknd,After Hours,2020-03-20,true,68,4.0,2025-06-25
You Better Move,Lil Uzi Vert,Eternal Atake,2020-03-06,true,56,3.28,2025-06-25
Strawberry Peels (feat. Young Thug & Gunna),Lil Uzi Vert,Eternal Atake (Deluxe) - LUV vs. The World 2,2020-03-13,true,60,1.92,2025-06-25
Fire Squad,J. Cole,2014 Forest Hills Drive,2014-12-09,true,3,4.8,2025-06-25
Immortal,J. Cole,4 Your Eyez Only,2016-12-09,true,64,3.36,2025-06-25
PICK IT UP (feat. A$AP Rocky),Famous Dex,Dex Meets Dexter,2018-04-06,true,66,3.19,2025-06-25
Millions,Young Thug,So Much Fun (Deluxe),2019-12-20,true,64,2.63,2025-06-25
"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,Revenge Of The Dreamers III,2019-07-05,true,66,3.63,2025-06-25
STARGAZING,Travis Scott,ASTROWORLD,2018-08-03,true,78,4.51,2025-06-25
Surf (feat. Gunna),Young Thug,So Much Fun (Deluxe),2019-12-20,true,52,3.07,2025-06-25
a lot,21 Savage,i am > i was,2018-12-21,true,82,4.81,2025-06-25
Ric Flair Drip (with Metro Boomin),Offset,Without Warning,2017-10-30,true,82,2.88,2025-06-25
The Real Slim Shady,Eminem,The Marshall Mathers LP,2000-05-23,true,88,4.74,2025-06-25
Stir Fry,Migos,Culture II,2018-01-26,true,77,3.17,2025-06-25
3 Headed Snake (feat. Young Thug),Gunna,Drip or Drown 2,2019-02-22,true,61,4.03,2025-06-25
Commercial (feat. Lil Uzi Vert),Lil Baby,My Turn,2020-02-28,true,67,3.57,2025-06-25
DNA.,Kendrick Lamar,DAMN.,2017-04-14,true,83,3.1,2025-06-25
Pure Cocaine,Lil Baby,Street Gossip,2018-11-30,true,82,2.57,2025-06-25
Nuketown (feat. Juice WRLD),Ski Mask The Slump God,STOKELEY,2018-11-30,true,73,2.77,2025-06-25
We Paid (feat. 42 Dugg),Lil Baby,My Turn (Deluxe),2020-05-01,true,76,3.03,2025-06-25
Catch Me Outside,Ski Mask The Slump God,You Will Regret (Reloaded),2018-02-02,true,67,2.43,2025-06-25
pick up the phone,Young Thug,Birds In The Trap Sing McKnight,2016-09-16,true,70,4.2,2025-06-25
No Opp Left Behind,21 Savage,SAVAGE MODE II,2020-10-02,true,61,3.24,2025-06-25
Marni On Me,Future,Pluto x Baby Pluto (Deluxe),2020-11-13,true,44,2.22,2025-06-25
Place,Playboi Carti,Whole Lotta Red,2020-12-25,true,68,1.95,2025-06-25
5% TINT,Travis Scott,ASTROWORLD,2018-08-03,true,80,3.27,2025-06-25
Real Baby Pluto,Future,Pluto x Baby Pluto (Deluxe),2020-11-13,true,46,3.28,2025-06-25
Ski,Young Stoner Life,Slime Language 2,2021-04-16,true,71,2.54,2025-06-25
Menace,Quality Control,Quality Control: Control The Streets Volume 1,2017-12-08,true,64,2.42,2025-06-25
Merlin’s Staff,Ski Mask The Slump God,Sin City The Mixtape,2021-06-25,true,48,2.07,2025-06-25
Came Out (feat. Lil Keed),Young Stoner Life,Slime Language 2,2021-04-16,true,48,3.2,2025-06-25
family ties (with Kendrick Lamar),Baby Keem,family ties (with Kendrick Lamar),2021-08-27,true,70,4.2,2025-06-25
Bubbly (with Drake & Travis Scott),Young Thug,Punk,2021-10-15,true,70,2.75,2025-06-25
ESCAPE PLAN,Travis Scott,ESCAPE PLAN / MAFIA,2021-11-05,true,71,2.49,2025-06-25
booman,Baby Keem,The Melodic Blue,2021-09-22,true,18,2.59,2025-06-25
hibachi (feat. Kodak Black & 21 Savage),Roddy Ricch,LIVE LIFE FAST,2021-12-17,true,63,2.84,2025-06-25
DoIHaveTheSause?,Ski Mask The Slump God,BEWARE THE BOOK OF ELI,2018-05-11,true,46,2.98,2025-06-25
